Ratio,NumHubs,AmountCost,TimeCost,Products,Values
0.10,155,272.33,1708.21,465196.83,5793.16
0.20,67,373.95,1514.36,566294.92,7123.61
0.30,25,417.77,1404.03,586561.61,7670.58
0.40,15,428.37,1386.39,593887.88,7811.94
0.50,10,433.33,1378.71,597436.40,7878.66
0.60,7,435.89,1374.69,599213.62,7913.04
0.66,5,437.36,1372.01,600062.29,7932.41
0.70,4,437.94,1369.21,599631.83,7938.31
0.73,2,438.76,1366.57,599596.25,7947.97
0.80,2,438.95,1366.57,599855.90,7950.82
0.90,2,439.22,1366.57,600224.88,7954.87
1.00,2,439.49,1366.57,600593.85,7958.92
